0x00a0
0x00a1
0x00a2
0x00a3
0x00a4
0x00a5
0x00a6
0x00a7
0x00a8
0x00a9
0x00aa
0x00ab
0x00ac
0x00ad
0x00ae
0x00af
0x00b0
0x00b1
0x00b2
0x00b3
0x00b4
0x00b5
0x00b6
0x00b7
0x00b8
0x00b9
0x00ba
0x00bb
